Date,Headline
2023-09-27,SMK Corp announces new chip for automotive applications
2023-09-26,SMK Corp to partner with TSMC to build new foundry in Taiwan
2023-09-25,SMK Corp reports strong financial results for the second quarter of 2023
2023-09-24,SMK Corp to acquire Japanese chipmaker NXP Semiconductors
2023-09-23,SMK Corp announces new CEO
2023-09-22,SMK Corp to invest in new semiconductor manufacturing plant in China
2023-09-21,SMK Corp signs deal with Samsung to supply chips for new smartphones
2023-09-20,SMK Corp to develop new chip for artificial intelligence applications
2023-09-19,SMK Corp to partner with Intel to develop new chip for data center applications
2023-09-18,SMK Corp to announce new chip for 5G applications
2023-09-17,SMK Corp to invest in new semiconductor manufacturing plant in South Korea
2023-09-16,SMK Corp signs deal with Qualcomm to supply chips for new smartphones
2023-09-15,SMK Corp to develop new chip for self-driving car applications
2023-09-14,SMK Corp to partner with Nvidia to develop new chip for gaming applications
2023-09-13,SMK Corp to announce new chip for cryptocurrency mining applications
2023-09-12,SMK Corp to invest in new semiconductor manufacturing plant in the United States
2023-09-11,SMK Corp signs deal with AMD to supply chips for new processors
2023-09-10,SMK Corp to develop new chip for wearables applications
2023-09-09,SMK Corp to partner with Microsoft to develop new chip for cloud computing applications
2023-09-08,SMK Corp to announce new chip for artificial intelligence applications
2023-09-07,SMK Corp to invest in new semiconductor manufacturing plant in Japan
2023-09-06,SMK Corp signs deal with IBM to supply chips for new mainframes
2023-09-05,SMK Corp to develop new chip for quantum computing applications
2023-09-04,SMK Corp to partner with Google to develop new chip for data center applications
2023-09-03,SMK Corp to announce new chip for 5G applications
2023-09-02,SMK Corp to invest in new semiconductor manufacturing plant in Taiwan
2023-09-01,SMK Corp signs deal with MediaTek to supply chips for new smartphones
2023-08-31,SMK Corp to develop new chip for self-driving car applications
2023-08-30,SMK Corp to partner with Arm to develop new chip for mobile devices
2023-08-29,SMK Corp to announce new chip for cryptocurrency mining applications
2023-08-28,SMK Corp to invest in new semiconductor manufacturing plant in South Korea
